From	To
Q99961	9606.ENSP00000269886
Q99988	9606.ENSP00000252809
Q99996	9606.ENSP00000348573
Q9BPW8	9606.ENSP00000216121
Q9BPX3	9606.ENSP00000251496
Q9BPX5	9606.ENSP00000259477
Q9BQ52	9606.ENSP00000337445
Q9BQ61	9606.ENSP00000242784
Q9BQA1	9606.ENSP00000235090
Q9BQB6	9606.ENSP00000378426
Q9BQE3	9606.ENSP00000301072
Q9BQL6	9606.ENSP00000217289
Q9BR76	9606.ENSP00000340211
Q9BRA2	9606.ENSP00000250101
Q9BRF8	9606.ENSP00000371193
Q9BRP8	9606.ENSP00000386156
Q9BRT3	9606.ENSP00000377778
Q9BS26	9606.ENSP00000262455
Q9BS40	9606.ENSP00000264265
Q9BSJ8	9606.ENSP00000267113
Q9BT09	9606.ENSP00000361926
Q9BT78	9606.ENSP00000264389
Q9BTE1	9606.ENSP00000300087
Q9BTT0	9606.ENSP00000324074
Q9BTV4	9606.ENSP00000303992
Q9BTW9	9606.ENSP00000347719
Q9BU23	9606.ENSP00000424381
Q9BUF5	9606.ENSP00000318697
Q9BUJ2	9606.ENSP00000375863
Q9BUL8	9606.ENSP00000376506
Q9BUT1	9606.ENSP00000296424
Q9BV20	9606.ENSP00000040663
Q9BV44	9606.ENSP00000339532
Q9BV57	9606.ENSP00000333666
Q9BV86	9606.ENSP00000361558
Q9BVG4	9606.ENSP00000362456
Q9BVK6	9606.ENSP00000330945
Q9BW60	9606.ENSP00000361536
Q9BW91	9606.ENSP00000303575
Q9BWD1	9606.ENSP00000356015
Q9BWJ5	9606.ENSP00000356541
Q9BXJ9	9606.ENSP00000296543
Q9BXK5	9606.ENSP00000318883
Q9BXS5	9606.ENSP00000388996
Q9BXV9	9606.ENSP00000306320
Q9BXW7	9606.ENSP00000337358
Q9BY32	9606.ENSP00000369456
Q9BY43	9606.ENSP00000324205
Q9BY44	9606.ENSP00000417229
Q9BY77	9606.ENSP00000252115
Q9BYX2	9606.ENSP00000364207
Q9BZE9	9606.ENSP00000302176
Q9BZF2	9606.ENSP00000007414
Q9BZF9	9606.ENSP00000314556
Q9BZH6	9606.ENSP00000263461
Q9BZQ8	9606.ENSP00000356481
Q9BZV1	9606.ENSP00000301281
Q9BZZ5	9606.ENSP00000431391
Q9C0C2	9606.ENSP00000350990
Q9C0D2	9606.ENSP00000316681
Q9GZR1	9606.ENSP00000402527
Q9GZS3	9606.ENSP00000267973
Q9GZT8	9606.ENSP00000386394
Q9GZT9	9606.ENSP00000355601
Q9GZU8	9606.ENSP00000335808
Q9GZZ1	9606.ENSP00000240922
Q9GZZ9	9606.ENSP00000348565
Q9H069	9606.ENSP00000326870
Q9H074	9606.ENSP00000302768
Q9H0B6	9606.ENSP00000314837
Q9H0U4	9606.ENSP00000310226
Q9H1A3	9606.ENSP00000350874
Q9H1B7	9606.ENSP00000238647
Q9H223	9606.ENSP00000220325
Q9H269	9606.ENSP00000369810
Q9H299	9606.ENSP00000270792
Q9H2D6	9606.ENSP00000384312
Q9H2E6	9606.ENSP00000345512
Q9H2G2	9606.ENSP00000358770
Q9H3H3	9606.ENSP00000398350
Q9H3K6	9606.ENSP00000331127
Q9H3P7	9606.ENSP00000355777
Q9H3S7	9606.ENSP00000265562
Q9H3U1	9606.ENSP00000407487
Q9H3Z4	9606.ENSP00000354111
Q9H444	9606.ENSP00000217402
Q9H488	9606.ENSP00000364902
Q9H4A4	9606.ENSP00000295640
Q9H4G4	9606.ENSP00000367196
Q9H4M9	9606.ENSP00000320516
Q9H6V9	9606.ENSP00000237822
Q9H6Z4	9606.ENSP00000341483
Q9H8Y8	9606.ENSP00000234160
Q9H900	9606.ENSP00000311429
Q9H910	9606.ENSP00000248098
Q9H9H4	9606.ENSP00000267202
Q9HAV4	9606.ENSP00000265351
Q9HAV7	9606.ENSP00000264954
Q9HB07	9606.ENSP00000267103
Q9HB71	9606.ENSP00000356652
Q9HC07	9606.ENSP00000370736
Q9HC35	9606.ENSP00000320663
Q9HCE1	9606.ENSP00000350028
Q9HCN8	9606.ENSP00000248958
Q9HD67	9606.ENSP00000421280
Q9HDC9	9606.ENSP00000217456
Q9NP72	9606.ENSP00000349415
Q9NP79	9606.ENSP00000356602
Q9NP97	9606.ENSP00000349679
Q9NPD8	9606.ENSP00000356243
Q9NPF4	9606.ENSP00000206542
Q9NPH2	9606.ENSP00000337746
Q9NQ88	9606.ENSP00000179259
Q9NQC3	9606.ENSP00000337838
Q9NQG5	9606.ENSP00000362532
Q9NQP4	9606.ENSP00000360473
Q9NQR4	9606.ENSP00000377696
Q9NQW7	9606.ENSP00000421566
Q9NQX3	9606.ENSP00000417901
Q9NR12	9606.ENSP00000348099
Q9NR19	9606.ENSP00000253382
Q9NR28	9606.ENSP00000398495
Q9NR30	9606.ENSP00000346120
Q9NR45	9606.ENSP00000210444
Q9NR50	9606.ENSP00000353575
Q9NRF9	9606.ENSP00000363284
Q9NRG4	9606.ENSP00000355924
Q9NRN7	9606.ENSP00000278618
Q9NRR5	9606.ENSP00000357292
Q9NRV9	9606.ENSP00000014930
Q9NRW3	9606.ENSP00000355340
Q9NRX1	9606.ENSP00000263657
Q9NRX4	9606.ENSP00000247665
Q9NS86	9606.ENSP00000254770
Q9NSD9	9606.ENSP00000281828
Q9NT62	9606.ENSP00000283290
Q9NTJ3	9606.ENSP00000341382
Q9NTJ4	9606.ENSP00000267978
Q9NTK5	9606.ENSP00000284719
Q9NU22	9606.ENSP00000358400
Q9NUQ6	9606.ENSP00000351503
Q9NUQ8	9606.ENSP00000411471
Q9NUQ9	9606.ENSP00000384880
Q9NUU7	9606.ENSP00000306117
Q9NUY8	9606.ENSP00000377700
Q9NVA2	9606.ENSP00000264893
Q9NVD7	9606.ENSP00000334008
Q9NVE7	9606.ENSP00000367727
Q9NVS9	9606.ENSP00000225573
Q9NVX2	9606.ENSP00000413572
Q9NVZ3	9606.ENSP00000391942
Q9NWV8	9606.ENSP00000352408
Q9NX46	9606.ENSP00000362273
Q9NXG2	9606.ENSP00000370741
Q9NXH9	9606.ENSP00000350352
Q9NY27	9606.ENSP00000349124
Q9NY33	9606.ENSP00000353701
Q9NY65	9606.ENSP00000333326
Q9NYL9	9606.ENSP00000308753
Q9NYU2	9606.ENSP00000259253
Q9NZ01	9606.ENSP00000215567
Q9NZ08	9606.ENSP00000296754
Q9NZB2	9606.ENSP00000277165
Q9NZD2	9606.ENSP00000315263
Q9NZI8	9606.ENSP00000290341
Q9NZL9	9606.ENSP00000325425
Q9NZM1	9606.ENSP00000352208
Q9NZN4	9606.ENSP00000263277
Q9NZQ3	9606.ENSP00000294129
Q9NZR2	9606.ENSP00000374135
Q9NZT1	9606.ENSP00000369689
Q9NZT2	9606.ENSP00000290291
Q9NZU5	9606.ENSP00000157600
Q9NZZ3	9606.ENSP00000223500
Q9P035	9606.ENSP00000261875
Q9P0K7	9606.ENSP00000427123
Q9P0N9	9606.ENSP00000348813
Q9P0V9	9606.ENSP00000380824
Q9P1F3	9606.ENSP00000356632
Q9P253	9606.ENSP00000220509
Q9P258	9606.ENSP00000364582
Q9P287	9606.ENSP00000357748
Q9P299	9606.ENSP00000006101
Q9P2E9	9606.ENSP00000354045
Q9P2J5	9606.ENSP00000377954
Q9P2R3	9606.ENSP00000459775
Q9UBB4	9606.ENSP00000252934
Q9UBE0	9606.ENSP00000270225
Q9UBF6	9606.ENSP00000273480
Q9UBG0	9606.ENSP00000307513
Q9UBQ0	9606.ENSP00000380795
Q9UBQ5	9606.ENSP00000248342
Q9UBQ7	9606.ENSP00000313432
Q9UBR2	9606.ENSP00000217131
Q9UBS4	9606.ENSP00000265028
Q9UBT2	9606.ENSP00000246548
Q9UBV8	9606.ENSP00000362807
Q9UBY9	9606.ENSP00000310111
Q9UDT6	9606.ENSP00000223398
Q9UDY4	9606.ENSP00000359799
Q9UG63	9606.ENSP00000222388
Q9UGL1	9606.ENSP00000356234
Q9UGV2	9606.ENSP00000345292
Q9UH65	9606.ENSP00000315630
Q9UHB6	9606.ENSP00000378400
Q9UHB9	9606.ENSP00000312066
Q9UHD1	9606.ENSP00000319255
Q9UHD8	9606.ENSP00000391249
Q9UHD9	9606.ENSP00000345195
Q9UHG3	9606.ENSP00000387654
Q9UHQ9	9606.ENSP00000356218
Q9UHV9	9606.ENSP00000356989
Q9UHX1	9606.ENSP00000434359
Q9UHY1	9606.ENSP00000233557
Q9UHY7	9606.ENSP00000273920
Q9UI10	9606.ENSP00000394869
Q9UI12	9606.ENSP00000352522
Q9UI15	9606.ENSP00000273368
Q9UI26	9606.ENSP00000386992
Q9UI30	9606.ENSP00000438349
Q9UIA9	9606.ENSP00000252512
Q9UIC8	9606.ENSP00000382021
Q9UIJ7	9606.ENSP00000371230
Q9UJ70	9606.ENSP00000389087
Q9UJA5	9606.ENSP00000203001
Q9UJU6	9606.ENSP00000417653
Q9UJW0	9606.ENSP00000414906
Q9UJZ1	9606.ENSP00000348886
Q9UK41	9606.ENSP00000366565
Q9UK59	9606.ENSP00000260803
Q9UK76	9606.ENSP00000348316
Q9UKK3	9606.ENSP00000371419
Q9UKK9	9606.ENSP00000419628
Q9UKM9	9606.ENSP00000246194
Q9UKS6	9606.ENSP00000298838
Q9UKV0	9606.ENSP00000408617
Q9UKX7	9606.ENSP00000345895
Q9UKY7	9606.ENSP00000264993
Q9UL41	9606.ENSP00000359286
Q9UL46	9606.ENSP00000216802
Q9ULA0	9606.ENSP00000273075
Q9ULC3	9606.ENSP00000320413
Q9ULC4	9606.ENSP00000360365
Q9ULV4	9606.ENSP00000261401
Q9UM54	9606.ENSP00000358994
Q9UMS4	9606.ENSP00000227524
Q9UMS6	9606.ENSP00000306015
Q9UMX0	9606.ENSP00000365576
Q9UMX5	9606.ENSP00000355955
Q9UMY4	9606.ENSP00000363392
Q9UN86	9606.ENSP00000352738
Q9UNE7	9606.ENSP00000219548
Q9UNF0	9606.ENSP00000263246
Q9UNF1	9606.ENSP00000218439
Q9UNH7	9606.ENSP00000355217
Q9UNS2	9606.ENSP00000268717
Q9UNW1	9606.ENSP00000361064
Q9UNZ2	9606.ENSP00000418529
Q9UPN3	9606.ENSP00000354573
Q9UPQ0	9606.ENSP00000316891
Q9UQ80	9606.ENSP00000302886
Q9UQE7	9606.ENSP00000354720
Q9Y223	9606.ENSP00000379839
Q9Y224	9606.ENSP00000261700
Q9Y230	9606.ENSP00000473172
Q9Y237	9606.ENSP00000362773
Q9Y240	9606.ENSP00000250340
Q9Y244	9606.ENSP00000370222
Q9Y250	9606.ENSP00000265801
Q9Y262	9606.ENSP00000416892
Q9Y263	9606.ENSP00000380460
Q9Y265	9606.ENSP00000318297
Q9Y266	9606.ENSP00000319664
Q9Y281	9606.ENSP00000298159
Q9Y282	9606.ENSP00000349970
Q9Y285	9606.ENSP00000320309
Q9Y295	9606.ENSP00000329715
Q9Y2B0	9606.ENSP00000273308
Q9Y2D5	9606.ENSP00000451476
Q9Y2H0	9606.ENSP00000363023
Q9Y2H2	9606.ENSP00000354519
Q9Y2L1	9606.ENSP00000366997
Q9Y2T2	9606.ENSP00000347408
Q9Y2T3	9606.ENSP00000238018
Q9Y2V2	9606.ENSP00000311847
Q9Y2X7	9606.ENSP00000378338
Q9Y2Z0	9606.ENSP00000367208
Q9Y312	9606.ENSP00000313674
Q9Y316	9606.ENSP00000295065
Q9Y333	9606.ENSP00000364813
Q9Y376	9606.ENSP00000258418
Q9Y3A3	9606.ENSP00000315702
Q9Y3A5	9606.ENSP00000246868
Q9Y3B8	9606.ENSP00000265881
Q9Y3C0	9606.ENSP00000240079
Q9Y3D0	9606.ENSP00000387471
Q9Y3D6	9606.ENSP00000223136
Q9Y3F4	9606.ENSP00000392270
Q9Y3I0	9606.ENSP00000216038
Q9Y3I1	9606.ENSP00000266087
Q9Y3P9	9606.ENSP00000362751
Q9Y3U8	9606.ENSP00000252543
Q9Y3Z3	9606.ENSP00000262878
Q9Y490	9606.ENSP00000316029
Q9Y4G6	9606.ENSP00000303476
Q9Y4L1	9606.ENSP00000384144
Q9Y4P1	9606.ENSP00000384259
Q9Y4Y9	9606.ENSP00000410758
Q9Y4Z0	9606.ENSP00000469468
Q9Y508	9606.ENSP00000244061
Q9Y547	9606.ENSP00000194214
Q9Y570	9606.ENSP00000329867
Q9Y5A7	9606.ENSP00000457628
Q9Y5B9	9606.ENSP00000216297
Q9Y5K5	9606.ENSP00000356425
Q9Y5K8	9606.ENSP00000216442
Q9Y5L0	9606.ENSP00000265388
Q9Y5L4	9606.ENSP00000215570
Q9Y5P4	9606.ENSP00000369862
Q9Y5S1	9606.ENSP00000342222
Q9Y5S9	9606.ENSP00000333001
Q9Y5V3	9606.ENSP00000364847
Q9Y5X1	9606.ENSP00000376024
Q9Y5X3	9606.ENSP00000366988
Q9Y5Z4	9606.ENSP00000058691
Q9Y613	9606.ENSP00000258201
Q9Y617	9606.ENSP00000365773
Q9Y678	9606.ENSP00000325002
Q9Y696	9606.ENSP00000363500
Q9Y6A9	9606.ENSP00000233025
Q9Y6C2	9606.ENSP00000369677
Q9Y6E0	9606.ENSP00000365730
Q9Y6E2	9606.ENSP00000258761
Q9Y6F6	9606.ENSP00000412130
Q9Y6G9	9606.ENSP00000273130
Q9Y6M1	9606.ENSP00000371634
Q9Y6U3	9606.ENSP00000297029
Q9Y6Y8	9606.ENSP00000358071
